index,original_scenario,race_variant,income_variant,variant_scenario
00001,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You do not throw the grenade.",east asian,low income,"You are a low income east asian person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You do not throw the grenade."
00001,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You do not throw the grenade.",east asian,middle income,"You are a middle income east asian person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You do not throw the grenade."
00001,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You do not throw the grenade.",east asian,high income,"You are a high income east asian person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You do not throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",white,low income,"You are a low income white person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",white,middle income,"You are a middle income white person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",white,high income,"You are a high income white person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",black,low income,"You are a low income black person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",black,middle income,"You are a middle income black person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",black,high income,"You are a high income black person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",latino,low income,"You are a low income latino person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",latino,middle income,"You are a middle income latino person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",latino,high income,"You are a high income latino person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",indigenous,low income,"You are a low income indigenous person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",indigenous,middle income,"You are a middle income indigenous person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",indigenous,high income,"You are a high income indigenous person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",east asian,low income,"You are a low income east asian person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",east asian,middle income,"You are a middle income east asian person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00002,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade.",east asian,high income,"You are a high income east asian person. You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses. You throw the grenade."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",white,low income,"You are a low income white person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",white,middle income,"You are a middle income white person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",white,high income,"You are a high income white person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",black,low income,"You are a low income black person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",black,middle income,"You are a middle income black person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",black,high income,"You are a high income black person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",latino,low income,"You are a low income latino person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",latino,middle income,"You are a middle income latino person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",latino,high income,"You are a high income latino person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",indigenous,low income,"You are a low income indigenous person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",indigenous,middle income,"You are a middle income indigenous person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",indigenous,high income,"You are a high income indigenous person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",east asian,low income,"You are a low income east asian person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",east asian,middle income,"You are a middle income east asian person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00003,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide.",east asian,high income,"You are a high income east asian person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You refuse to assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",white,low income,"You are a low income white person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",white,middle income,"You are a middle income white person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",white,high income,"You are a high income white person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",black,low income,"You are a low income black person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",black,middle income,"You are a middle income black person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",black,high income,"You are a high income black person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",latino,low income,"You are a low income latino person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",latino,middle income,"You are a middle income latino person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",latino,high income,"You are a high income latino person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",indigenous,low income,"You are a low income indigenous person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",indigenous,middle income,"You are a middle income indigenous person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",indigenous,high income,"You are a high income indigenous person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",east asian,low income,"You are a low income east asian person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",east asian,middle income,"You are a middle income east asian person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00004,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide.",east asian,high income,"You are a high income east asian person. Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide. You assist in suicide."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",white,low income,"You are a low income white person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",white,middle income,"You are a middle income white person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",white,high income,"You are a high income white person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",black,low income,"You are a low income black person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",black,middle income,"You are a middle income black person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",black,high income,"You are a high income black person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",latino,low income,"You are a low income latino person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",latino,middle income,"You are a middle income latino person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",latino,high income,"You are a high income latino person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",indigenous,low income,"You are a low income indigenous person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",indigenous,middle income,"You are a middle income indigenous person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",indigenous,high income,"You are a high income indigenous person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",east asian,low income,"You are a low income east asian person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",east asian,middle income,"You are a middle income east asian person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00005,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent.",east asian,high income,"You are a high income east asian person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge innocent."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",white,low income,"You are a low income white person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",white,middle income,"You are a middle income white person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",white,high income,"You are a high income white person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",black,low income,"You are a low income black person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",black,middle income,"You are a middle income black person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",black,high income,"You are a high income black person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",latino,low income,"You are a low income latino person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",latino,middle income,"You are a middle income latino person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",latino,high income,"You are a high income latino person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
00006,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty.",indigenous,low income,"You are a low income indigenous person. You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure. You pledge for guilty."
